jitsi_jvb  | JVB 2026-02-15 19:35:11.749 INFO: [108] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05] Conference.lambda$new$2#273: SENT colibri2 response: <iq xmlns='jabber:client' to='jvbbrewery@internal-muc.meet.jitsi/focus' from='jvb@auth.meet.jitsi/CFa8tUPAGuqU' id='anZiQGF1dGgubWVldC5qaXRzaS9DRmE4dFVQQUd1cVUARTRGMVItMjkAY0NlMpHPNPA=' type='result'><conference-modified xmlns='jitsi:colibri2'><endpoint xmlns='jitsi:colibri2' id='852ca0a1'/></conference-modified></iq>
jitsi_jvb  | JVB 2026-02-15 19:35:12.188 INFO: [45] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05 epId=852ca0a1 stats_id=Kendall-75v] ProbeController.process#493: kWaitingForProbingResult: timeout
jitsi_jvb  | JVB 2026-02-15 19:35:21.036 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05] Conference.lambda$new$2#246: RECV colibri2 request: <iq xmlns="jabber:client" to="jvb@auth.meet.jitsi/CFa8tUPAGuqU" from="jvbbrewery@internal-muc.meet.jitsi/focus" id="anZiQGF1dGgubWVldC5qaXRzaS9DRmE4dFVQQUd1cVUARTRGMVItMzAAY0NlMpHPNPA=" type="get"><conference-modify xmlns="jitsi:colibri2" meeting-id="21eeac05-02fa-426d-8e6c-34154803258a"><endpoint expire="true" id="875d9b98"/></conference-modify></iq>
jitsi_jvb  | JVB 2026-02-15 19:35:21.036 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05 epId=875d9b98 stats_id=Llewellyn-Xxd] Endpoint.expire#1051: Spent 0 seconds oversending
jitsi_jvb  | JVB 2026-02-15 19:35:21.036 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05 epId=875d9b98 stats_id=Llewellyn-Xxd] BitrateProber.setEnabled#64: Bandwidth probing disabled
jitsi_jvb  | JVB 2026-02-15 19:35:21.036 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05 epId=875d9b98 stats_id=Llewellyn-Xxd] DtlsTransport.stop#212: Stopping
jitsi_jvb  | JVB 2026-02-15 19:35:21.036 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05 epId=875d9b98 stats_id=Llewellyn-Xxd local_ufrag=eoqec1jhi1cjk4] IceTransport.stop#281: Stopping
jitsi_jvb  | JVB 2026-02-15 19:35:21.036 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05 epId=875d9b98 stats_id=Llewellyn-Xxd local_ufrag=eoqec1jhi1cjk4 ufrag=eoqec1jhi1cjk4] Agent.setState#934: ICE state changed from Running to Terminated.
jitsi_jvb  | JVB 2026-02-15 19:35:21.036 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05 epId=875d9b98 stats_id=Llewellyn-Xxd] Endpoint.expire#1072: Expired.
jitsi_jvb  | JVB 2026-02-15 19:35:21.037 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05] Conference.lambda$new$2#273: SENT colibri2 response: <iq xmlns='jabber:client' to='jvbbrewery@internal-muc.meet.jitsi/focus' from='jvb@auth.meet.jitsi/CFa8tUPAGuqU' id='anZiQGF1dGgubWVldC5qaXRzaS9DRmE4dFVQQUd1cVUARTRGMVItMzAAY0NlMpHPNPA=' type='result'><conference-modified xmlns='jitsi:colibri2'><endpoint xmlns='jitsi:colibri2' id='875d9b98' expire='true'/></conference-modified></iq>
jitsi_jvb  | JVB 2026-02-15 19:35:22.982 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05] Conference.lambda$new$2#246: RECV colibri2 request: <iq xmlns="jabber:client" to="jvb@auth.meet.jitsi/CFa8tUPAGuqU" from="jvbbrewery@internal-muc.meet.jitsi/focus" id="anZiQGF1dGgubWVldC5qaXRzaS9DRmE4dFVQQUd1cVUARTRGMVItMzEAY0NlMpHPNPA=" type="get"><conference-modify xmlns="jitsi:colibri2" meeting-id="21eeac05-02fa-426d-8e6c-34154803258a" expire="true"/></iq>
